Wall time,Step,Value
1743834285.195223,12288,-100934.1484375
1743834286.144765,14336,-100489.03125
1743834290.895238,22528,-101190.328125
1743834291.8553421,24576,-101073.2734375
1743834293.8007329,28672,-100628.921875
1743834295.4670951,30720,-100498.0078125
1743834296.436361,32768,-100531.4453125
1743834298.377275,36864,-100213.6484375
1743834299.3386161,38912,-100304.65625
1743834300.973505,40960,-100224.8125
1743834302.154722,43008,-100289.8125
1743834307.743449,51200,-100076.7578125
1743834319.363294,69632,-98369.8671875
1743834321.343004,71680,-98068.7578125
1743834324.436021,75776,-98040.859375
1743834328.490886,81920,-97710.453125
1743834329.561942,83968,-97948.8671875
1743834332.11963,88064,-98274.0546875
1743834335.079364,92160,-97781.515625
1743834336.0348392,94208,-97921.9765625
1743834338.139978,98304,-97692.2578125
1743834341.037575,102400,-98280.6640625
1743834342.329553,104448,-98393.7890625
1743834347.086355,110592,-98976.2890625
1743834348.0549881,112640,-99083.3125
1743834349.284003,114688,-99376.25
1743834350.488093,116736,-99186.1171875
1743834351.429513,118784,-99535.3203125
1743834355.278796,124928,-99871.9375
1743834356.2193532,126976,-100019.1484375
1743834358.8084311,131072,-100007.15625
1743834360.997268,135168,-99960.2890625
1743834362.4330492,137216,-99476.9609375
1743834363.572413,139264,-99620.59375
1743834365.566211,141312,-99737.6875
1743834368.947326,147456,-100150.2265625
1743834370.2586172,149504,-99957.6953125
1743834371.84975,151552,-99848.78125
1743834373.0492458,153600,-99802.6171875
1743834375.133419,157696,-100008.859375
1743834379.309571,163840,-99786.6796875
1743834385.1856482,174080,-99619.5546875
1743834386.7490408,176128,-99561.7734375
1743834388.035166,178176,-99870.4140625
1743834389.591327,180224,-99731.28125
1743834390.8758888,182272,-99800.2578125
1743834392.178278,184320,-99907.1015625
1743834399.043329,194560,-99718.09375
1743834408.970487,210944,-99507.3828125
1743834412.06092,217088,-99388.640625
1743834413.5307572,219136,-99584.453125
1743834422.6462998,233472,-99324.375
1743834426.254549,239616,-99321.234375
1743834429.554989,243712,-99296.6171875
1743834431.2595189,245760,-99605.5546875
1743834432.489342,247808,-99504.4375
1743834437.3874292,256000,-99017.171875
1743834438.347359,258048,-98941.1015625
1743834440.025255,260096,-98842.203125
1743834443.354056,266240,-97613.90625
1743834444.577153,268288,-97736.25
1743834449.327701,274432,-97441.6484375
1743834455.0761569,282624,-96738.7890625
1743834457.377368,286720,-96983.3046875
1743834459.893905,290816,-97247.4375
1743834461.3943522,292864,-97118.7734375
1743834462.677314,294912,-96979.6484375
1743834463.639015,296960,-97076.9765625
1743834467.1186712,301056,-96650.3359375
1743834469.303434,305152,-97209.1015625
1743834471.411312,309248,-97337.7890625
1743834475.183388,315392,-97833.8359375
1743834476.946232,317440,-97865.578125
1743834477.9431832,319488,-97926.5390625
1743834480.9875462,323584,-97824.1640625
1743834482.2418518,325632,-98112.9765625
1743834483.198457,327680,-97918.1875
1743834487.4010491,333824,-98418.8828125
1743834489.300411,337920,-98425.2578125
1743834490.53675,339968,-98756.5
1743834493.714798,344064,-98635.140625
1743834495.09428,346112,-99001.53125
1743834499.1654599,352256,-99358.484375
1743834505.8308759,362496,-99218.0
1743834507.0957959,364544,-99149.1015625
1743834508.502367,366592,-98882.0390625
1743834511.2472389,370688,-99090.4375
1743834512.474114,372736,-99399.6875
1743834514.484724,376832,-99208.578125
1743834518.4066272,380928,-98888.9765625
1743834519.3687758,382976,-98399.0625
1743834520.3414679,385024,-98508.0703125
1743834521.351441,387072,-98087.828125
1743834524.2733262,391168,-98033.609375
1743834525.272672,393216,-97935.203125
1743834533.88571,407552,-96564.90625
1743834539.322915,415744,-95917.1640625
1743834544.340346,423936,-95820.0625
1743834545.2945879,425984,-95652.625
1743834546.223176,428032,-95587.1953125
1743834551.912631,436224,-95757.6015625
1743834556.699876,442368,-95717.203125
1743834559.779652,448512,-96022.34375
1743834561.785865,450560,-96069.28125
1743834564.841111,456704,-95959.3203125
1743834567.018114,458752,-95974.953125
